Year,runtime,vote_average,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0.8988764044943842,0.2784810126582278,0.8269296937722217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0.8764044943820224,0.3417721518987341,0.807087968803762,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8988764044943842,0.32067510548523204,0.8989563023282487,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8764044943820224,0.4472573839662447,0.8831287991742173,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9101123595505634,0.2573839662447257,0.7481362541575869,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.3080168776371308,0.7057001949764882,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.29957805907172996,0.7210689299231564,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8539325842696641,0.3966244725738396,0.7740566578736093,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9662921348314626,0.28691983122362863,0.8312879917421724,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8539325842696641,0.43881856540084385,0.8111021906181902,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9662921348314626,0.3291139240506329,0.7454983369652484,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.3628691983122362,0.8753297396490424,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9213483146067425,0.4430379746835442,0.7705012042665443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.9438202247191008,0.3417721518987341,0.7762358068585847,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9101123595505634,0.2616033755274261,0.7454983369652484,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.23206751054852318,0.628971212294988,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.2742616033755274,0.6606262186030508,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9550561797752835,0.3291139240506329,0.699277440073403,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.4092827004219408,0.8281913063424705,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9325842696629216,0.33755274261603374,0.6747333409794701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0.32067510548523204,0.678403486638376,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8988764044943842,0.2362869198312236,0.6923959169629545,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.2573839662447257,0.8096111939442597,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9325842696629216,0.2911392405063291,0.5329739649042322,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.8876404494382015,0.38396624472573837,0.7754329624956992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9662921348314626,0.4092827004219408,0.7415988072026609,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.9438202247191008,0.21097046413502105,0.6826470925564859,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8876404494382015,0.2573839662447257,0.7245096914783806,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9887640449438209,0.3248945147679324,0.6831058607638492,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.9775280898876417,0.24472573839662445,0.7684367473334098,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8651685393258433,0.5443037974683543,0.8221126275949078,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0.9550561797752835,0.24894514767932488,0.7604083037045534,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.842696629213485,0.42194092827004215,0.6880376189930038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.35021097046413496,0.6131437091409566,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.7977528089887649,0.481012658227848,0.7832320220208739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.842696629213485,0.2362869198312236,0.7320793668998739,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8988764044943842,0.3417721518987341,0.6781741025346945,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.2573839662447257,0.7913751577015714,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9438202247191008,0.41772151898734167,0.8155751806399817,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9550561797752835,0.26582278481012656,0.8487211836219751,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0.8764044943820224,0.2362869198312236,0.7134992545016631,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8539325842696641,0.5063291139240506,0.8720036701456589,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.9775280898876417,0.48945147679324885,0.6743892648239478,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9213483146067425,0.3966244725738396,0.8520472531253586,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.842696629213485,0.36708860759493667,0.8401192797339145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9775280898876417,0.21518987341772147,0.8807202660855604,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,0.3966244725738396,0.6527124670260351,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
