title,overview,poster_path,Director,Actors_1,Actors_2,Actors_3,genre_principal,genre_1,genre_2,genre_3,Year,runtime,vote_average,Tous genres
2001 : L'Odyssée de l'espace,"Aux temps préhistoriques, une petite tribu d’hommes‐singes installée au milieu de rochers arides lutte difficilement pour la vie. Un matin, ils trouvent devant eux une mystérieuse dalle noire monolithique. L’un des singes touche la pierre et apprend alors à se servir d’un os de quadrupède pour tuer ses ennemis. Quatre millions d’années plus tard, en 2001, un savant de l’espace, le Dr Heywood Floyd, débarque sur la lune pour examiner une dalle noire semblable à celle des singes, qui était enterrée sous la surface de l’astre. Selon les premières observations, l’objet émettrait un signal mystérieux…",/uwd79G32FPIL5B9UkRgSZvS0gbe.jpg,Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Science-Fiction,Science-Fiction,Mystère,Aventure,1968,156.0,8.053,"['Science-Fiction', 'Mystère', 'Aventure']"
E.T. l'extra-terrestre,"Une soucoupe volante atterrit en pleine nuit près de Los Angeles. Quelques extraterrestres, envoyés sur Terre en mission d’exploration botanique, sortent de l’engin, mais un des leurs s’aventure au-delà de la clairière où se trouve la navette. Celui-ci se dirige alors vers la ville. C’est sa première découverte de la civilisation humaine. Bientôt traquée par des militaires et abandonnée par les siens, cette petite créature apeurée se nommant E.T. se réfugie dans une résidence de banlieue. Elliot, un garçon de dix ans, le découvre et lui construit un abri dans son armoire. Rapprochés par un échange télépathique, les deux êtres ne tardent pas à devenir amis. Aidé par sa sœur Gertie et son frère aîné Michael, Elliot va alors tenter de garder la présence d'E.T. secrète.",/5jl5sfhTeAlp60rM9GxoDA2dmX9.jpg,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Science-Fiction,Science-Fiction,Aventure,Familial,1982,115.0,7.513,"['Science-Fiction', 'Aventure', 'Familial']"
In the Land of Women,"Un scénariste de Los Angeles s'installe dans la banlieue de Détroit pour se remettre d'une rupture sentimentale. Là, il se lie d'amitié avec une mère et sa fille qui se retrouvent à la rue.",/qbfVeY8sE3luiRXYZTPT9rjV6p1.jpg,Jonathan Kasdan,Adam Brody,Kristen Stewart,Meg Ryan,Romance,Romance,Comédie,Drame,2007,97.0,5.872,"['Romance', 'Comédie', 'Drame']"
Le Papillon bleu,"Inspiré d'un fait vécu par l'entomologiste québécois Georges Brossard, fondateur de l'Insectarium de Montréal, Le Papillon Bleu raconte l'histoire de David, un jeune garçon de dix ans atteint d'un cancer. Son rêve ultime est d'attraper le plus beau papillon qui soit, le rare et mythique Morpho bleu, que l'on ne trouve que dans les forêts tropicales d'Amérique centrale et d'Amérique du Sud. Teresa, la mère (Pascale Bussières) du garçon (Marc Donato) arrive à convaincre un entomologiste (William Hurt) réputé de les emmener dans la jungle, elle et son fils, afin de trouver le mystérieux papillon aux ailes d'azur. L'aventure transformera leur vie.",/wuKQhiIrPPhY6DDOdYYrsWoVcK9.jpg,Léa Pool,Marc Donato,William Hurt,Pascale Bussières,Aventure,Aventure,Drame,Aucun genre,2004,97.0,6.9,"['Aventure', 'Drame', 'Aucun genre']"
Génération 65,"C'est l'été 1965, et les membres de la classe de terminale du lycée huppé de Westwood sont désireux de se réinventer. La valedictoriane Mary Beth veut fréquenter une université libérale. Le surfeur Stick prévoit de s'engager pour combattre au Vietnam. Calvin vit dans le quartier pauvre de Watts à Los Angeles, qui connaît une lente éruption de violence. Alors que les nuits d'été s'allongent, ils vont tous être obligés de prendre des décisions qui affecteront le reste de leur vie.",/mxzpiU1yr4KgHXbMTo8GRF4LcEy.jpg,Floyd Mutrux,Dermot Mulroney,Ricky Schroder,Kelli Williams,Drame,Drame,Comédie,Aucun genre,1994,99.0,6.192,"['Drame', 'Comédie', 'Aucun genre']"
हाउसफुल,Synopsis non disponible,/6NsTj3mdvpTKgAxPK7ojTHprxWu.jpg,Sajid Khan,Akshay Kumar,Deepika Padukone,Riteish Deshmukh,Comédie,Comédie,Romance,Aucun genre,2010,135.0,5.723,"['Comédie', 'Romance', 'Aucun genre']"
September Dawn,"Le 11 septembre 1857 dans une vallée vierge de l'Utah, un train de colons est attaqué par une bande de tueurs mormons en rupture avec leur milieu. Cent-vingt hommes femmes et enfants sont massacrés au nom de Dieu. Des survivants, un jeune couple d'amoureux, un Mormon et un colon de l'Arkansas développent des liens imprégnés de doute et de rancœur. Drame inspiré d'un fait vécu.",/hZomhyZMwrRk8D57BXz4xDcFT4H.jpg,Christopher Cain,Jon Voight,Trent Ford,Tamara Hope,Drame,Drame,Histoire,Western,2007,111.0,5.3,"['Drame', 'Histoire', 'Western']"
Cristeros,"En 1926, un soulèvement populaire secoue le Mexique suite aux lois du président Callès, qui interdisent toutes pratiques religieuses dans l’ensemble du pays. Des hommes et des femmes de tous horizons, les Cristeros, vont alors risquer leur vie pour défendre leur liberté et lutter contre les persécutions menées par le gouvernement. Une des pages les plus sombres de l’Histoire du Mexique.",/A4r5I8cV2yVdn84ZXXP4TPyPS4i.jpg,Dean Wright,Adrian Alonso,Rubén Blades,Catalina Sandino Moreno,Histoire,Histoire,Drame,Action,2012,144.0,6.8,"['Histoire', 'Drame', 'Action']"
La Famille Bélier,"Dans la famille Bélier, tout le monde est sourd sauf Paula, 16 ans. Elle est une interprète indispensable à ses parents au quotidien, notamment pour l’exploitation de la ferme familiale. Un jour, poussée par son professeur de musique qui lui a découvert un don pour le chant, elle décide de préparer le concours de Radio France. Un choix de vie qui signifierait pour elle l’éloignement de sa famille et un passage inévitable à l’âge adulte.",/kAQeZUZ1pMTSjSF3d6eBZClFGgN.jpg,Éric Lartigau,Karin Viard,François Damiens,Eric Elmosnino,Comédie,Comédie,Musique,Drame,2014,105.0,6.941,"['Comédie', 'Musique', 'Drame']"
Will Hunting,"Will Hunting est un authentique génie mais également un rebelle aux élans imprévisibles. Il est né dans le quartier populaire de South Boston et a arrêté très tôt ses études, refusant le brillant avenir que pouvait lui procurer son intelligence. Il vit désormais entouré d'une bande de copains et passe son temps dans les bars a chercher la bagarre et à commettre quelques petits délits qui risquent bien de l'envoyer en prison. C'est alors que ses dons prodigieux en mathématiques attirent l'attention du professeur Lambeau, du Massachusetts Institute of Technology...",/gvWfXts6Qp34z8VTzpMagatA0nD.jpg,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Drame,Drame,Aucun genre,Aucun genre,1997,126.0,8.16,"['Drame', 'Aucun genre', 'Aucun genre']"
